         667560615 function calls (667559440 primitive calls) in 34.950 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      308    0.000    0.000    0.009    0.000 frozen importlib._bootstrap_external:75(_path_stat)
       34    0.001    0.000    0.132    0.004 frozen importlib._bootstrap_external:756(get_code)
       34    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:813(__init__)
       34    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:838(get_filename)
       62    0.001    0.000    0.003    0.000 frozen importlib._bootstrap_external:843(get_data)
       78    0.000    0.000    0.002    0.000 frozen importlib._bootstrap_external:85(_path_is_mode_type)
       34    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:853(path_stats)
       28    0.000    0.000    0.004    0.000 frozen importlib._bootstrap_external:858(_cache_bytecode)
       28    0.000    0.000    0.002    0.000 frozen importlib._bootstrap_external:863(set_data)
        4    0.000    0.000    0.000    0.000 frozen importlib._bootstrap_external:921(__init__)
        4    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:932(create_module)
       44    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:94(_path_isfile)
        4    0.000    0.000    0.017    0.004 frozen importlib._bootstrap_external:940(exec_module)
       34    0.000    0.000    0.001    0.000 frozen importlib._bootstrap_external:99(_path_isdir)
       14    0.000    0.000    0.000    0.000 functools.py:44(update_wrapper)
        2    0.000    0.000    0.000    0.000 functools.py:448(lru_cache)
        2    0.000    0.000    0.000    0.000 functools.py:479(decorating_function)
        2    0.000    0.000    0.000    0.000 functools.py:485(_lru_cache_wrapper)
       12    0.000    0.000    0.000    0.000 functools.py:74(wraps)
       14    0.000    0.000    0.005    0.000 hashlib.py:117(__get_openssl_constructor)
        1    0.000    0.000    0.108    0.108 hashlib.py:5(<module>)
        8    0.000    0.000    0.005    0.001 hashlib.py:74(__get_builtin_constructor)
     1303    0.008    0.000    0.125    0.000 hill_climbing.py:100(<genexpr>)
     1376    0.016    0.000   35.869    0.026 hill_climbing.py:103(get_score)
       72    0.000    0.000    0.000    0.000 hill_climbing.py:106(set_state)
        1    0.000    0.000    0.000    0.000 hill_climbing.py:109(get_state)
        1    0.000    0.000    0.001    0.001 hill_climbing.py:20(<listcomp>)
        1    0.000    0.000    0.000    0.000 hill_climbing.py:24(HillClimber)
        1    0.000    0.000   36.975   36.975 hill_climbing.py:3(<module>)
        1    0.000    0.000    0.097    0.097 hill_climbing.py:30(__init__)
        1    0.002    0.002   36.495   36.495 hill_climbing.py:50(hill_climb)
       73    0.119    0.002   36.088    0.494 hill_climbing.py:64(hill_climb_iteration)
        1    0.000    0.000    0.000    0.000 hill_climbing.py:82(SubstitutionHillClimber)
        1    0.000    0.000    0.000    0.000 hill_climbing.py:85(initialise_state)
       73    0.006    0.000    0.403    0.006 hill_climbing.py:88(format_state)
     1376    0.005    0.000    0.169    0.000 hill_climbing.py:94(modify_state)
        1    0.000    0.000    0.000    0.000 latin_1.py:41(getregentry)
        1    0.000    0.000    0.009    0.009 linecache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 metric.py:22(blind_distribution)
        1    0.000    0.000    0.001    0.001 metric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 metric.py:32(normalise)
        1    0.000    0.000    0.000    0.000 metric.py:37(<dictcomp>)
        1    0.000    0.000    0.000    0.000 metric.py:76(Metric)
        4    0.000    0.000    0.000    0.000 metric.py:82(__init__)
     1376    0.006    0.000   35.847    0.026 metric.py:97(no_strip)
        1    0.000    0.000    0.002    0.002 ntpath.py:2(<module>)
        1    0.000    0.000    0.000    0.000 os.py:1067(__subclasshook__)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:126(_ResultMixinStr)
        1    0.000    0.000    0.000    0.000 parse.py:134(_ResultMixinBytes)
        1    0.000    0.000    0.000    0.000 parse.py:142(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 parse.py:175(_NetlocResultMixinStr)
        1    0.000    0.000    0.000    0.000 parse.py:205(_NetlocResultMixinBytes)
        1    0.000    0.000    0.000    0.000 parse.py:310(DefragResult)
        1    0.000    0.000    0.000    0.000 parse.py:318(SplitResult)
        1    0.000    0.000    0.000    0.000 parse.py:323(ParseResult)
        1    0.000    0.000    0.000    0.000 parse.py:329(DefragResultBytes)
        1    0.000    0.000    0.000    0.000 parse.py:337(SplitResultBytes)
        1    0.000    0.000    0.000    0.000 parse.py:342(ParseResultBytes)
        1    0.000    0.000    0.000    0.000 parse.py:348(_fix_result_transcoding)
        1    0.000    0.000    0.000    0.000 parse.py:761(Quoter)
        1    0.000    0.000    0.019    0.019 pathlib.py:1(<module>)
       10    0.000    0.000    0.000    0.000 pathlib.py:1008(_init)
        2    0.000    0.000    0.000    0.000 pathlib.py:1035(_opener)
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
        2    0.000    0.000    0.000    0.000 pathlib.py:1174(open)
       27    0.000    0.000    0.000    0.000 pathlib.py:119(<genexpr>)
       27    0.000    0.000    0.000    0.000 pathlib.py:120(<genexpr>)
        1    0.000    0.000    0.000    0.000 pathlib.py:126(<setcomp>)
        1    0.000    0.000    0.000    0.000 pathlib.py:127(<setcomp>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1446(PosixPath)
        1    0.000    0.000    0.000    0.000 pathlib.py:1453(WindowsPath)
        1    0.000    0.000    0.000    0.000 pathlib.py:274(_PosixFlavour)
        8    0.000    0.000    0.000    0.000 pathlib.py:282(splitroot)
        1    0.000    0.000    0.000    0.000 pathlib.py:377(_Accessor)
        1    0.000    0.000    0.000    0.000 pathlib.py:382(_NormalAccessor)
       10    0.000    0.000    0.000    0.000 pathlib.py:384(_wrap_strfunc)
        2    0.000    0.000    0.000    0.000 pathlib.py:385(wrapped)
        2    0.000    0.000    0.000    0.000 pathlib.py:390(_wrap_binary_strfunc)
        1    0.000    0.000    0.000    0.000 pathlib.py:44(_Flavour)
        1    0.000    0.000    0.000    0.000 pathlib.py:467(_Selector)
        2    0.000    0.000    0.000    0.000 pathlib.py:48(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:492(_TerminatingSelector)
        1    0.000    0.000    0.000    0.000 pathlib.py:498(_PreciseSelector)
        8    0.000    0.000    0.000    0.000 pathlib.py:51(parse_parts)
        1    0.000    0.000    0.000    0.000 pathlib.py:514(_WildcardSelector)
        1    0.000    0.000    0.000    0.000 pathlib.py:537(_RecursiveWildcardSelector)
        1    0.000    0.000    0.000    0.000 pathlib.py:574(_PathParents)
        1    0.000    0.000    0.000    0.000 pathlib.py:602(PurePath)
        8    0.000    0.000    0.000    0.000 pathlib.py:631(_parse_args)
